//Africa

Melkbosstrand; Equiano; n.a; 4
Melkbosstrand; SAFE; 13500; 6
Melkbosstrand; SAT-3/WASC; 14350; 12
Umbogintwini; Meltingpot Indianoceanic Submarine System (METISS); 3200; 4
Mtunzini; Eastern Africa Submarine System (EASSy); 10500; 9
Mtunzini; SAFE; 13500; 6
Mtunzini; SEACOM/Tata TGN-Eurasia; 15000; 8
Yzerfontein; West African Cable System (WACS); 14530; 13
Maputo; Eastern Africa Submarine System (EASSy); 10500; 9
Maputo; SEACOM/Tata TGN-Eurasia; 15000; 8
Toliara; 
Maputo; Eastern Africa Submarine System (EASSy); 10500; 9
Fort Dauphin; Meltingpot Indianoceanic Submarine System (METISS); 3200; 4
Toamasina; Lower Indian Ocean Network (LION); 1.060; 3
Saint Paul; SAFE; 13500; 6
Sainte Marie;  Lower Indian Ocean Network (LION); 1.060; 3
Baie Jacotet; Mauritius and Rodrigues Submarine Cable System (MARS); 677; 2
Baie Jacotet; SAFE; 13500; 6
Grand Baie(Rodrigues); Mauritius and Rodrigues Submarine Cable System (MARS); 677; 2
Le Port; Meltingpot Indianoceanic Submarine System (METISS); 3200; 4
Baie du Tombeau;  Meltingpot Indianoceanic Submarine System (METISS); 3200; 4
Terre Rouge; Lower Indian Ocean Network (LION); 1.060; 3
Moroni; Avassa; 260; 4
Moroni; Eastern Africa Submarine System (EASSy); 10500; 9
Moroni; FLY-LION3; 400; 2
Chindini; Avassa; 260; 4
Chindini; Comoros Domestic Cable System; n.a; 3
Fomboni Moheli; Comoros Domestic Cable System; n.a; 3
Mutsamudu; Comoros Domestic Cable System; n.a; 3
Mutsamudu; Avassa; 260; 4
Kaweni; FLY-LION3; 400; 2
Kaweni; Lower Indian Ocean Network 2 (LION2); 2.700; 2
Mamoudzou; Avassa; 260; 4
Dar Es Salaam; Eastern Africa Submarine System (EASSy); 10500; 9
Dar Es Salaam; SEACOM/Tata TGN-Eurasia; 15000; 8
Dar Es Salaam; Seychelles to East Africa System (SEAS); 1.930; 2
Mombasa; Dijibouti Africa Regional Express 1 (DARE1); 4.854; 4
Mombasa; Eastern Africa Submarine System (EASSy); 10500; 9
Mombasa; PEACE Cable; 15.000; 12 
Mombasa; SEACOM/Tata TGN-Eurasia; 15000; 8
Mombasa; The East African Marine System (TEAMS); 4.900; 2
Kismayo; PEACE Cable; 15.000; 12 
Mogadishu; Dijibouti Africa Regional Express 1 (DARE1); 4.854; 4
Mogadishu; Eastern Africa Submarine System (EASSy); 10500; 9
Mogadishu; PEACE Cable; 15.000; 12 
Hobyo; PEACE Cable; 15.000; 12 
Bosaso; Dijibouti Africa Regional Express 1 (DARE1); 4.854; 4
Bosaso; Gulf2Africa(G2A); 1.500; 3 
Bosaso;PEACE Cable; 15.000; 12 
Berbera; Gulf2Africa(G2A); 1.500; 3 
Dijibouti City; Aden-DijiAbouti; 269; 2
Dijibouti City; Asia Africa Europe-1 (AAE-1); 25.000; 20
Dijibouti City; Dijibouti Africa Regional Express 1 (DARE1); 4.854; 4
Dijibouti City; Eastern Africa Submarine System (EASSy); 10500; 9
Dijibouti City; Europe India Gateway (EIG); 15.000; 12
Dijibouti City; Middle East North Africa (MENA) Cable System/Gulf Bridge International; 8.000; 6 
Dijibouti City; PEACE Cable; 15.000; 12 
Dijibouti City; SEACOM/Tata TGN-Eurasia; 15000; 8
Dijibouti City; SeaMeWe-3; 39.000; 39
Dijibouti City; SeaMeWe-5; 20.000; 18
Port Sudan; Eastern Africa Submarine System (EASSy); 10500; 9
Port Sudan; FALCON; 10.300; 16
Port Sudan; Saudi Arabia-Sudan1 (SAS-1); 333; 2
Port Sudan; Saudi Arabia-Sudan2 (SAS-2); 330; 2
Zafarana; Asia Africa Europe-1 (AAE-1); 25.000; 20
Zafarana; Europe India Gateway (EIG); 15.000; 12
Zafarana; Middle East North Africa (MENA) Cable System/Gulf Bridge International; 8.000; 6 
Zafarana; PEACE Cable; 15.000; 12 
Zafarana; SEACOM/Tata TGN-Eurasia; 15000; 8
Zafarana; SeaMeWe-5; 20.000; 18
Suez; FALCON; 10.300; 16
